ID,Card Name,Short Name,Card Set,Color,Type,Subtype,Group,Occuran.,Mana Costs,Pow,Tuff
0864,Whimsy,Whimsy,Astral,Blue,Sorcery,na,None,Special,00001x,na,na
0865,Faerie Dragon,Faerie Dragon,Astral,Green,Summon,Dragon,None,Special,020002,1,3
0866,Goblin Polka Band,Goblin Polka Band,Astral,Red,Summon,Goblins,None,Special,002000,1,1
0867,Power Junction,Power Junction,Astral,Blue,Enchant,na,None,Special,000032,na,na
0868,Aswan Jaguar,Aswan Jaguar,Astral,Green,Summon,Jaguar,None,Special,020001,2,2
0869,Orcish Catapult,Orcish Catapult,Astral,Red,Instant,na,None,Special,00100x,na,na
0870,Gem Bazaar,Gem Bazaar,Astral,Grey,Land,na,None,Special,000000,na,na
0871,Necropolis of Azaar,Necropolis of Azaar,Astral,Black,Enchant,na,None,Special,000202,na,na
0872,Red Guild,Red Guild,Astral,Grey,Land,na,None,Special,000000,na,na
0873,Blue Guild,Blue Guild,Astral,Grey,Land,na,None,Special,000000,na,na
0874,White Guild,White Guild,Astral,Grey,Land,na,None,Special,000000,na,na
0875,Green Guild,Green Guild,Astral,Grey,Land,na,None,Special,000000,na,na
0876,Black Guild,Black Guild,Astral,Grey,Land,na,None,Special,000000,na,na
0877,Artificer's Guild,Artificer's Guild,Astral,Grey,Land,na,None,Special,000000,na,na
0878,Bright Society,Bright Society,Astral,Grey,Land,na,None,Special,000000,na,na
0879,Grey Society,Grey Society,Astral,Grey,Land,na,None,Special,000000,na,na
0880,Dark Society,Dark Society,Astral,Grey,Land,na,None,Special,000000,na,na
0881,Gladiator,Gladiator,Astral,Brown,Artifact,Creature,None,Special,000003,2,2
0882,Master,Master,Astral,Blue,Enchant,Creature,None,Special,000010,na,na
0883,Royalty,Royalty,Astral,White,Enchant,na,None,Special,100000,na,na
0884,Veteran,Veteran,Astral,Red,Summon,Veteran,None,Special,001000,2,1
0885,Giant Wasp,Giant Wasp,Magic,Brown,Token,Giant Wasp,None,None,000005,1,1
0886,Wolves of the Hunt,Wolves of the Hunt,Legends,Green,Token,Wolves,None,None,020002,1,1
0887,Poison Snake,Poison Snake,Legends,Brown,Token,Snake,None,None,000004,1,1
0888,Minor Demon,Minor Demon,Legends,Gold,Token,Demon,None,None,001102,1,1
0889,Sand Warrior,Sand Warrior,Legends,Gold,Token,Sand Warrior,None,None,111000,1,1
0890,Djinn of the Bottle,Djinn of the Bottle,Arabian,Brown,Token,Djinn,None,None,000000,5,5
0891,Tetravii,Tetravii,Antiquities,Brown,Token,Tetravii,None,None,000000,1,1
0892,Ruhk,Ruhk,Arabian,Red,Token,Ruhk,None,None,000000,4,4
0893,Arena,Arena,Astral,Grey,Land,na,None,Special,000000,1,1
0894,Mana Crypt,Mana Crypt,Astral,Brown,Artifact,na,None,Special,000000,na,na
0895,Nalathni Dragon,Nalathni Dragon,Astral,Red,Summon,Dragon,None,Special,002002,1,1
0896,Sewers of Estark,Sewers of Estark,Astral,Black,Instant,na,None,Special,000202,na,na
0897,Windseeker Centaur,Windseeker Centaur,Astral,Red,Summon,Centaur,None,Special,002001,2,2
0898,Giant Badger,Giant Badger,Astral,Green,Summon,Badger,None,Special,020001,2,2
0899,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0900,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0901,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0902,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0903,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0904,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0905,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0906,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0907,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0908,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0909,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0910,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0911,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0912,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0913,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0914,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0915,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0916,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0917,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0918,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0919,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0920,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0921,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0922,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0923,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0924,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0925,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0926,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0927,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0928,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0929,Blank Slot 13,Blank Slot 13,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0930,Brass Man,Brass Man,Arabian,Brown,Artifact,Creature,None,Uncommon,000001,1,3
0931,Dancing Scimitar,Dancing Scimitar,Arabian,Brown,Artifact,Creature,None,Rare,000004,1,5
0932,Curse Artifact,Curse Artifact,Dark,Black,Enchant,Artifact,None,Uncommon,000202,na,na
0933,Electric Eel,Electric Eel,Dark,Blue,Summon,Eel,None,Uncommon,000010,1,1
0934,Festival,Festival,Dark,White,Instant,na,None,Common,100000,na,na
0935,Flood,Flood,Dark,Blue,Enchant,na,None,Uncommon,000010,na,na
0936,Goblin Digging Team,Goblin Digging Team,Dark,Red,Summon,Goblins,None,Common,001000,1,1
0937,Goblin Rock Sled,Goblin Rock Sled,Dark,Red,Summon,Rock Sled,None,Common,001001,3,1
0938,Goblin Shrine,Goblin Shrine,Dark,Red,Enchant,Land,None,Common,002001,na,na
0939,Marsh Viper,Marsh Viper,Dark,Green,Summon,Viper,None,Common,010003,1,2
0940,Merfolk Assassin,Merfolk Assassin,Dark,Blue,Summon,Merfolk,None,Uncommon,000020,1,2
0941,Miracle Worker,Miracle Worker,Dark,White,Summon,Savant,None,Common,100000,1,1
0942,Pikemen,Pikemen,Dark,White,Summon,Pikemen,None,Common,100001,1,1
0943,Ragman,Ragman,Dark,Black,Summon,Ragman,None,Rare,000202,2,1
0944,Savaen Elves,Savaen Elves,Dark,Green,Summon,Elves,None,Common,010000,1,1
0945,Scarwood Bandits,Scarwood Bandits,Dark,Green,Summon,Bandits,None,Rare,020002,2,2
0946,Scarwood Goblins,Scarwood Goblins,Dark,Gold,Summon,Goblins,None,Common,011000,2,2
0947,Scavenger Folk,Scavenger Folk,Dark,Green,Summon,Scavengers,None,Common,010000,1,1
0948,Squire,Squire,Dark,White,Summon,Squire,None,Common,100001,1,2
0949,Tangle Kelp,Tangle Kelp,Dark,Blue,Enchant,Creature,None,Uncommon,000010,na,na
0950,Tivandar's Crusade,Tivandar's Crusade,Dark,White,Sorcery,na,None,Uncommon,200001,na,na
0951,Water Wurm,Water Wurm,Dark,Blue,Summon,Wurm,None,Common,000010,1,1
0952,Rubinia Soulsinger,Rubinia Soulsinger,Legends,Gold,Summon,Legend,None,Rare,110012,2,3
0953,MPS Logo,MPS Logo,Astral,Brown,Artifact,na,MPS,Special,000000,na,na
0954,Blank Slot 46,Blank Slot 46,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0955,Blank Slot 47,Blank Slot 47,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0956,Blank Slot 48,Blank Slot 48,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0957,Blank Slot 49,Blank Slot 49,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0958,Blank Slot 50,Blank Slot 50,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0959,Blank Slot 51,Blank Slot 51,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0960,Across the Rhine,Across the Rhine,Astral,Brown,Enchant,na,MPS,Special,000000,na,na
0961,CivNet,CivNet,Astral,Grey,Land,na,MPS,Special,000000,na,na
0962,Terror from the Deep,Terror from the Deep,Astral,Blue,Summon,Terror,MPS,Special,000070,24,24
0963,World Card,World Card,Magic,Brown,World,na,None,na,000000,na,na
0964,Blank Slot 53,Blank Slot 53,Magic,Clear,Summon,Demon,None,Common,000000,1,1
0965,Blank Slot 54,Blank Slot 54,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0966,Blank Slot 55,Blank Slot 55,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0967,Blank Slot 56,Blank Slot 56,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0968,Blank Slot 57,Blank Slot 57,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0969,Blank Slot 58,Blank Slot 58,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0970,Blank Slot 59,Blank Slot 59,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0971,Blank Slot 60,Blank Slot 60,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0972,Blank Slot 61,Blank Slot 61,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0973,Blank Slot 62,Blank Slot 62,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0974,Blank Slot 63,Blank Slot 63,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0975,Blank Slot 64,Blank Slot 64,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0976,Blank Slot 65,Blank Slot 65,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0977,Blank Slot 66,Blank Slot 66,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0978,Blank Slot 67,Blank Slot 67,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0979,Blank Slot 68,Blank Slot 68,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0980,Blank Slot 69,Blank Slot 69,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0981,Blank Slot 70,Blank Slot 70,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0982,Blank Slot 71,Blank Slot 71,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0983,Blank Slot 72,Blank Slot 72,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0984,Blank Slot 73,Blank Slot 73,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0985,Blank Slot 74,Blank Slot 74,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0986,Blank Slot 75,Blank Slot 75,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0987,Blank Slot 76,Blank Slot 76,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0988,Blank Slot 77,Blank Slot 77,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0989,Blank Slot 78,Blank Slot 78,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0990,Blank Slot 79,Blank Slot 79,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0991,Blank Slot 80,Blank Slot 80,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0992,Blank Slot 81,Blank Slot 81,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0993,Blank Slot 82,Blank Slot 82,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0994,Blank Slot 83,Blank Slot 83,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0995,Blank Slot 84,Blank Slot 84,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0996,Blank Slot 85,Blank Slot 85,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0997,Blank Slot 86,Blank Slot 86,Magic,Brown,Summon,Demon,None,Common,000000,1,1
0998,Damage Card,Damage,Magic,Brown,Damage,na,None,na,000000,na,na
0999,Player Card,Player Card,Magic,Brown,Player,na,None,na,000000,na,na
1000,Basalt Monolith,Basalt Untap,Magic,Brown,Instant,Effect,None,na,000003,na,na
1001,Blessing,Blessing PowerUp,Magic,White,Instant,Effect,None,na,x00000,na,na
1002,Chaos Orb,Silly Orb Thing,Magic,Brown,Instant,Effect,None,na,000002,na,na
1003,Circle of Protection Black,Black Protection,Magic,White,Instant,Effect,None,na,000001,na,na
1004,Circle of Protection Blue,Blue Protection,Magic,White,Instant,Effect,None,na,000001,na,na
1005,Circle of Protection Green,Green Protection,Magic,White,Instant,Effect,None,na,000001,na,na
1006,Circle of Protection Red,Red Protection,Magic,White,Instant,Effect,None,na,000001,na,na
1007,Circle of Protection White,White Protection,Magic,White,Instant,Effect,None,na,000001,na,na
1008,Clockwork Beast,Rewind Beast,Magic,Brown,Instant,Effect,None,na,00000x,na,na
1009,Conservator,Conserve Life,Magic,Brown,Instant,Effect,None,na,000003,na,na
1010,Crystal Rod,Blue Lucky Charm,Magic,Brown,Instant,Effect,None,na,000001,na,na
1011,Cyclopean Tomb,Creative Irrigation,Magic,Brown,Instant,Effect,None,na,000002,na,na
1012,Deathgrip,Cancel Green,Magic,Black,Interrupt,Effect,None,na,000200,na,na
1013,Demonic Hordes,Consume Land,Magic,Black,Instant,Effect,None,na,000000,na,na
1014,Disrupting Sceptre,Discard Therapy,Magic,Brown,Instant,Effect,None,na,000003,na,na
1015,Dragon Whelp,Whelp Up,Magic,Red,Instant,Effect,None,na,00x000,na,na
1016,Dwarven Demolition Team,Urban Renewal,Magic,Red,Instant,Effect,None,na,000000,na,na
1017,Dwarven Warrior,Thanks Drive Thru,Magic,Red,Instant,Effect,None,na,000000,na,na
1018,Farmstead,Bumper Crop,Magic,White,Instant,Effect,None,na,200000,na,na
1019,Firebreathing,Now Thats a Fire,Magic,Red,Instant,Effect,None,na,00x000,na,na
1020,Forcefield,Stay Away,Magic,Brown,Instant,Effect,None,na,000001,na,na
1021,Frozen Shade,Shade PowerUp,Magic,Black,Instant,Effect,None,na,000x00,na,na
1022,Gaea's Liege,Rural Renewal,Magic,Green,Instant,Effect,None,na,000000,na,na
1023,Glasses of Urza,Peekaboo,Magic,Brown,Instant,Effect,None,na,000000,na,na
1024,Goblin Baloon Brigade,Up Up and Away,Magic,Red,Instant,Effect,None,na,001000,na,na
1025,Granite Gargoyle,Stone Skin,Magic,Red,Instant,Effect,None,na,00x000,na,na
1026,Empty Slot 1,Empty Slot 1,Magic,Brown,Instant,Effect,None,na,000000,na,na
1027,Helm of Chatzuk,Band Together,Magic,Brown,Instant,Effect,None,na,000001,na,na
1028,Holy Armor,ArmorUp,Magic,White,Instant,Effect,None,na,x00000,na,na
1029,Empty Slot 2,Empty Slot 2,Magic,Brown,Instant,Effect,None,na,000000,na,na
1030,Icy Manipulator,Icy Touch,Magic,Brown,Instant,Effect,None,na,000001,na,na
1031,Samite Healer,Good Drugs,Magic,White,Instant,Effect,None,na,000000,na,na
1032,Instill Energy,Untap Once,Magic,Green,Instant,Effect,None,na,000000,na,na
1033,Iron Star,Red Lucky Charm,Magic,Brown,Instant,Effect,None,na,000001,na,na
1034,Ivory Cup,White Lucky Charm,Magic,Brown,Instant,Effect,None,na,000001,na,na
1035,Jade Monolith,Monolith Redirect,Magic,Brown,Instant,Effect,None,na,000001,na,na
1036,Jade Statue,Dont Touch The Idol,Magic,Brown,Instant,Effect,None,na,000002,na,na
1037,Jayemdae Tome,Musty Tome,Magic,Brown,Instant,Effect,None,na,000004,na,na
1038,Mana Vault,Pay The Shark,Magic,Brown,Instant,Effect,None,na,000004,na,na
1039,Nettling Imp,Red Rover Red Rover,Magic,Black,Instant,Effect,None,na,000000,na,na
1040,Nevinyrral's Disk,History Eraser Button,Magic,Brown,Instant,Effect,None,na,000001,na,na
1041,Northern Paladin,Dudley DoRight,Magic,White,Instant,Effect,None,na,200000,na,na
1042,Orcish Artillery,Dangerous Artillery,Magic,Red,Instant,Effect,None,na,000000,na,na
1043,Personal Incarnation,OnTheChin,Magic,White,Instant,Effect,None,na,000000,na,na
1044,Pestilence,Germ Warfare,Magic,Black,Instant,Effect,None,na,000x00,na,na
1045,Pirate Ship,Tim on a Boat,Magic,Blue,Instant,Effect,None,na,000000,na,na
1046,Prodigal Sorcerer,Tims Poke,Magic,Blue,Instant,Effect,None,na,000000,na,na
1047,Regeneration,Hes Not Dead Yet,Magic,Green,Instant,Effect,None,na,010000,na,na
1048,Rock Hydra,Save A Head,Magic,Red,Instant,Effect,None,na,00x000,na,na
1049,Rod of Ruin,Tim on a Stick,Magic,Brown,Instant,Effect,None,na,000003,na,na
1050,Royal Assassin,Royal Stab,Magic,Black,Instant,Effect,None,na,000000,na,na
1051,Shivan Dragon,Shivan PowerUp,Magic,Red,Instant,Effect,None,na,00x000,na,na
1052,Stone Giant,Fastball Special,Magic,Red,Instant,Effect,None,na,000000,na,na
1053,The Hive,Bzzzz,Magic,Brown,Instant,Effect,None,na,000005,na,na
1054,Throne of Bone,Black Lucky Charm,Magic,Brown,Instant,Effect,None,na,000001,na,na
1055,Wall of Fire,Buddha Flame,Magic,Red,Instant,Effect,None,na,00x000,na,na
1056,Wall of Water,Waterbreathing,Magic,Blue,Instant,Effect,None,na,0000x0,na,na
1057,Wooden Sphere,Green Lucky Charm,Magic,Brown,Instant,Effect,None,na,000001,na,na
1058,Ley Druid,Restore Land,Magic,Green,Interrupt,Effect,None,na,000000,na,na
1059,Lifeforce,Cancel Black,Magic,Green,Interrupt,Effect,None,na,020000,na,na
1060,Banshee,Banshee Scream,Dark,Black,Instant,Effect,None,na,00000x,na,na
1061,Barl's Cage,In the Slammer,Dark,Brown,Instant,Effect,None,na,000000,na,na
1062,Dark Heart of the Wood,Tree Killers,Dark,Gold,Instant,Effect,None,na,000000,na,na
1063,Bone Flute,Haunting Tune,Dark,Brown,Instant,Effect,None,na,000000,na,na
1064,Brothers of Fire,Work Hazard,Dark,Red,Instant,Effect,None,na,000000,na,na
1065,Cave People,Secret Path,Dark,Red,Instant,Effect,None,na,000000,na,na
1066,Eater of the Dead,Bring Out Yer Dead,Dark,Black,Instant,Effect,None,na,000000,na,na
1067,Exorcist,Get Thee Gone Evil,Dark,White,Instant,Effect,None,na,000000,na,na
1068,Fire Drake,Bunsen Burner,Dark,Red,Instant,Effect,None,na,001000,na,na
1069,Scarwood Hag Effect 1,Map of Scarwood,Dark,Green,Instant,Effect,None,na,000000,na,na
1070,Scarwood Hag Effect 2,Tree Barricade,Dark,Green,Instant,Effect,None,na,000000,na,na
1071,People of the Woods,Get a Life You Bum,Dark,Green,Instant,Effect,None,na,000000,na,na
1072,Spitting Slug,Hawk a Loogie,Dark,Green,Instant,Effect,None,na,000000,na,na
1073,Goblin Wizard Effect 1,Pull Goblin out of Hat,Dark,Red,Instant,Effect,None,na,000000,na,na
1074,Goblin Wizard Effect 2,WizWard,Dark,Red,Instant,Effect,None,na,000000,na,na
1075,Grave Robbers,Throw Me The Idol,Dark,Black,Instant,Effect,None,na,000000,na,na
1076,Living Armor,We Have the Tech...,Dark,Brown,Instant,Effect,None,na,000000,na,na
1077,Necropolis,Pushin' Up Daisies,Dark,Brown,Instant,Effect,None,na,000000,na,na
1078,Orc General,Let's Set an Example,Dark,Red,Instant,Effect,None,na,000000,na,na
1079,Preacher,Drink This Kool-Aid,Dark,White,Instant,Effect,None,na,000000,na,na
1080,Book of Rass,Library Card,Dark,Brown,Instant,Effect,None,na,000000,na,na
1081,Runesword,RuneSword Effect,Dark,Brown,Instant,Effect,None,na,000000,na,na
1082,Safe Haven Effect 1,Safe Haven Effect,Dark,Grey,Instant,Effect,None,na,000000,na,na
1083,Safe Haven Effect 2,Safe Haven Sacrifice,Dark,Grey,Instant,Effect,None,na,000000,na,na
1084,Skull of Orm,Regrow Enchant,Dark,Brown,Instant,Effect,None,na,000000,na,na
1085,Tormod's Crypt,Cryptage,Dark,Brown,Instant,Effect,None,na,000000,na,na
1086,Dark Sphere,Dark Sphere Effect,Dark,Brown,Instant,Effect,None,na,000000,na,na
1087,Niall Silvain,The Green Man,Dark,Green,Instant,Effect,None,na,000000,na,na
1088,Maze of Ith,Maze Effect,Dark,Grey,Instant,Effect,None,na,000000,na,na
1089,Tower of Coireall,Over the Walls!,Dark,Brown,Instant,Effect,None,na,000000,na,na
1090,Tracker,I Will Find You,Dark,Green,Instant,Effect,None,na,000000,na,na
1091,Wand of Ith,What Have We Here?,Dark,Brown,Instant,Effect,None,na,000000,na,na
1092,War Barge,The Love Barge...,Dark,Brown,Instant,Effect,None,na,000000,na,na
1093,Whippoorwill,That Bird Don't Fly,Dark,Green,Instant,Effect,None,na,000000,na,na
1094,Witch Hunter Effect 1,Take That You Fiend!,Dark,White,Instant,Effect,None,na,000000,na,na
1095,Witch Hunter Effect 2,Shh. Be Vewy Qwiet...,Dark,White,Instant,Effect,None,na,000000,na,na
1096,Worm Wood Treefolk Effect 1,Stroll in the Forest,Dark,Green,Instant,Effect,None,na,000000,na,na
1097,Worm Wood Treefolk Effect 2,Trip to the Swamp,Dark,Green,Instant,Effect,None,na,000000,na,na
1098,Aladdin,Aladdin Effect,Arabian,Red,Instant,Effect,None,na,000000,na,na
1099,Aladdin's Lamp,Lamp Effect,Arabian,Brown,Instant,Effect,None,na,000000,na,na
1100,Ali Baba,Open Sesame,Arabian,Red,Instant,Effect,None,na,000000,na,na
1101,Aladdin's Ring,Tim's Revenge,Arabian,Brown,Instant,Effect,None,na,000000,na,na
1102,Bazaar of Baghdad,Wizard's Market,Arabian,Grey,Instant,Effect,None,na,000000,na,na
1103,Bottle of Suleiman,Abraca-pocus,Arabian,Brown,Instant,Effect,None,na,000000,na,na
1104,Scarecrow,Mrs. King,Dark,Brown,Instant,Effect,None,na,000000,na,na
1105,Cuombajj Witches,Kuumbaya My Lord,Arabian,Black,Instant,Effect,None,na,000000,na,na
1106,Desert,Oh water boy...,Arabian,Grey,Instant,Effect,None,na,000000,na,na
1107,Diamond Valley,A girl's best friend.,Arabian,Grey,Instant,Effect,None,na,000000,na,na
1108,Elephant Graveyard,Elephant Revival,Arabian,Grey,Instant,Effect,None,na,000000,na,na
1109,Erhnam Djinn,Mi foresta y su foresta,Arabian,Green,Instant,Effect,None,na,000000,na,na
1110,Flying Carpet,Don't look down,Arabian,Brown,Instant,Effect,None,na,000000,na,na
1111,Hurr Jackal,Hizz Jackal,Arabian,Red,Instant,Effect,None,na,000000,na,na
1112,Ifh-Biff Efreet,Hurricane Biff,Arabian,Green,Instant,Effect,None,na,000000,na,na
1113,Island of Wak-Wak,Waka-waka,Arabian,Grey,Instant,Effect,None,na,000000,na,na
1114,Jandor's Saddlebags,Saddlebaggage,Arabian,Brown,Instant,Effect,None,na,000000,na,na
1115,King Suleiman,Back in Bottle,Arabian,White,Instant,Effect,None,na,000000,na,na
1116,Library of Alexandria,Get A Card,Arabian,Grey,Instant,Effect,None,na,000000,na,na
1117,Naf's Asp,Asp Problem,Arabian,Green,Instant,Effect,None,na,000000,na,na
1118,Oasis,Vacation Resort,Arabian,Grey,Instant,Effect,None,na,000000,na,na
1119,Old Man of the Sea,Monkey on Your Back,Arabian,Blue,Instant,Effect,None,na,000000,na,na
1120,Pyramids,Protect Land,Arabian,Brown,Instant,Effect,None,na,000000,na,na
1121,Pyramids,Blow Enchant,Arabian,Brown,Instant,Effect,None,na,000000,na,na
1122,Sandals of Abdallah,Walk a mile in my...,Arabian,Brown,Instant,Effect,None,na,000000,na,na
1123,Singing Tree,The trees are alive...,Arabian,Green,Instant,Effect,None,na,000000,na,na
1124,Sorceress Queen,Here little piggy...,Arabian,Black,Instant,Effect,None,na,000000,na,na
1125,Wyluli Wolf,Wolf's howl,Arabian,Green,Instant,Effect,None,na,000000,na,na
1126,Amulet of Kroog,Salve of Kroog,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1127,Argivian Archaeologist,Throw Me the Whip,Antiquities,White,Instant,Effect,None,na,000000,na,na
1128,Argivian Blacksmith,Argivian Bodyshop,Antiquities,White,Instant,Effect,None,na,000000,na,na
1129,Lady Caladria,Get the Point?,Legends,Gold,Instant,Effect,None,na,000000,na,na
1130,Ashnod's Battle Gear,Can Opener Bait,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1131,Atog,Eat em up Yum,Antiquities,Red,Instant,Effect,None,na,000000,na,na
1132,Armageddon Clock,Remove Counter,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1133,Ashnod's Transmorgrant,Happy Chemistry,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1134,Bronze Tablet,Tablet Effect,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1135,Candelabra of Tawnos,Mana Recycling,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1136,Circle of Protection Artifacts,Artifact Protection,Antiquities,White,Instant,Effect,None,na,000000,na,na
1137,Clockwork Avian,Rewind Avian,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1138,Coral Helm,Take the Helm,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1139,Dragon Engine,Steambreathing,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1140,Dwarven Weaponsmith,Wartoys R Us,Antiquities,Red,Instant,Effect,None,na,000000,na,na
1141,Feldon's Cane,Recycle Graveyard,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1142,Gate to Phyrexia,Watch for Customs,Antiquities,Black,Instant,Effect,None,na,000000,na,na
1143,Goblin Artisans,What Manual?,Antiquities,Red,Instant,Effect,None,na,000000,na,na
1144,Grapeshot Catapult,Pull!,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1145,Jalum Tome,Self Help Tome,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1146,Millstone,Grind Away,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1147,Mishra's Factory Effect 1,Become Worker,Antiquities,Grey,Instant,Effect,None,na,000000,na,na
1148,Mishra's Factory Effect 2,Boost Worker,Antiquities,Grey,Instant,Effect,None,na,000000,na,na
1149,Obelisk of Undoing,Obelisk of Undoing,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1150,Orcish Mechanics,INCOMING!,Antiquities,Red,Instant,Effect,None,na,000000,na,na
1151,Phyrexian Gremlins,Gremlins in th' Works,Antiquities,Black,Instant,Effect,None,na,000000,na,na
1152,Rakalite,Rakalite Effect,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1153,Rocket Launcher,I'll be back...,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1154,Sage of Lat-Nam,Fee: One Artifact,Antiquities,Blue,Instant,Effect,None,na,000000,na,na
1155,Staff of Zegon,Rap their Knuckles,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1156,Strip Mine,Landscape Artist,Antiquities,Grey,Instant,Effect,None,na,000000,na,na
1157,Tawnos' Coffin,Coffin Effect,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
