ID,Card Name,Type Description,Artist Name,Rule Text,Quote
0761,Rapid Fire,Instant,Justin Hampton,"Target creature gains first strike until end of turn.  If the creature does not have rampage, it also gains rampage 2 until end of turn.  Play before defense is chosen.",
0762,Rasputin,Summon Legend,Andi Rusu,,
0763,Rebirth,Sorcery,Mark Tedin,Each player may be healed to 20 life.  Any player choosing to be healed antes an additional card from the top of his or her library.  Remove Rebirth from your deck before playing if not playing for ante.,
0764,Recall,Sorcery,Brian Snoddy,Discard x/2 cards to graveyard and take x/2 cards from graveyard into hand,
0765,Red Mana Battery,Artifact,Mark Tedin,"|2 |T: Put one charge counter on Red Mana Battery.  |T: Add |R to your mana pool and rmove as many charge counters as you wish.  For each charge counter remove from Red Mana Battery, add |R...",
0766,Reincarnation,Instant,Edward Beard Jr.,Exchange one of your creatures which went to the graveyard this turn with any from your graveyard.,
0767,Relic Barrier,Artifact,Harold McNeill,|T: taps target artifact.,
0768,Relic Bind,Enchant Artifact,Christopher Rush,"When target artifact opponent controls becomes tapped, you may give 1 life or have Relic Bind deal 1 damage to target player.",
0769,Remove Enchantment,Instant,Brian Snoddy,"Remove all enchantments you control, all enchantments played on permanents you control, and all enchantments on all attacking creatures.  Enchantments removed in this way are returned to your hand if you own them; otherwise they are destroyed.",
0770,Remove Soul,Interrupt,Brian Snoddy,Counters target summon spell.,"Nethya stiffened suddenly, head cocked as if straining to hear some distant sound, then fell lifeless to the ground."
0771,Reset,Interrupt,Nicola Leonard,Untap all your lands.  Play only during an opponent's turn after his or her upkeep phase.,
0772,Revelation,Enchant World,Kaja Foglio,All players place hands face up on playing surface at all times.,"``Many are in high place, and of renown: but mysteries are revealed unto the meek.'' ---Ecclesiasticus 3:19"
0773,Reverberation,Instant,Justin Hampton,Redirect all damage from a sorcery to its caster.,
0774,Righteous Avengers,Summon Avengers,Heather Hudson,Plainswalk,Few can withstand the wrath of the righteous.
0775,Ring of Immortals,Artifact,Melissa Benson,"|3 |T: Counter target interrupt or enchantment, which must target a permanent you control.",
0776,Riven Turnbull,Summon Legend,Richard Kane-Ferguson,|T: Add |B to your mana pool.,"""Political violence is a perfectly legitimate answer to the persecution handed down by dignitaries of the state."""
0777,Rohgahh,Summon Legend,Edward Beard Jr.,,
0778,Rust,Interrupt,Liz Danforth,"Counter target artifact effect, which must require an activation cost.","""How dull it is to pause, to make an end, / To rust unburnished, not to shine in use, / As though to breathe were life!"" --- Alfred, Lord Tennyson, ""Ulysses"""
0779,Sea Kings' Blessing,Instant,Randy Asplund-Faith,"Change the color of one or more target creatures to blue.  This change lasts until end of turn.  Costs to cast, tap, maintain, or use a special ability of targets remain unchanged.",
0780,Seafarer's Quay,Land,Tom Wanerstrand,All your blue legends gain bands with other legends.,
0781,Seeker,Enchant Creature,Mark Poole,Target creature cannot be blocked except by white creatures and artifact creatures.,
0782,Segovian Leviathan,Summon Leviathan,Melissa Benson,Islandwalk,"``Leviathan, too!  Can you catch him with a fish-hook or run a line round his tongue?'' ---Job 40:25"
0783,Sentinel,Artifact Creature,Randy Asplund-Faith,You may choose to change sentinal's tough to 1+ the power of any creature it blocks or is blocked by at the time of that combat.,
0784,Serpent Generator,Artifact,Mark Tedin,|4 |T: create a 1/1 poison snake. ,
0785,Shelkin Brownie,Summon Faerie,Douglas Shuler,|T: Target creature loses bands with other until end of turn.,Leave a bowl of milk on your doorstep each night for the brownies or they'll cause you no end of mischief.
0786,Shield Wall,Instant,Douglas Shuler,All your creatures gain +0/+2 until end of turn,
0787,Night Stalker,Summon Stalker,Jesper Myrfors,|B |T: make stalker take all damage done to you by an attacking creature,"`Tis now the very witching time of night,/ When churchyards yawn and hell itself breathes out/ Contagion to this world.'' ---William Shakespeare, Hamlet"
0788,Silhouette,Instant,Kaja Foglio,"Until end of turn, all damage dealt to target creature by spells or effects that target it is reduced to 0.",
0789,Sir Shandlar,Summon Legend,Andi Rusu,,"""Remember Sir Shandlar! Remember and stand firm!"" --- rallying cry of the Eberyn militia"
0790,Sivitri Scarzam,Summon Legend,NeNe Thomas,,Even the brave have cause to tremble at the sight of Sivitri Scarzam. Who else has tamed Scarzam's Dragon?
0791,Sol'kanar,Summon Legend,Richard Kane-Ferguson,Any black spell cast by any player gives you one life while Sol'kanar is in play,
0792,Spectral Cloak,Enchant Creature,Rob Alexander,"As long as target creature is untapped, it cannot be the target of fast effects, sorceries, or enchantments.  This effect does not cause enchantments on the creature to be destroyed.",
0793,Spinal Villain,Summon Villain,Anson Maddocks,|T: Destroy target blue creature.,"""Striking silent as a dream, / Cutting short the strangled scream ..."" --- Tobrian, ""Watchdragon"""
0794,Spirit Link,Enchant Creature,Kaja Foglio,Gain 1 life for every 1 damage target creature deals.  You may gain more life than the toughness or the total life of the creature or player damaged by the creature Spirit Link enchants.,
0795,Spirit Shackle,Enchant Creature,Edward Beard Jr.,Put a -0/-2 counter on target creature every time it becomes tapped.  These counters remain even if Spirit Shackle is removed.,
0796,Spiritual Sanctuary,Enchantment,Amy Weber,"During each player's upkeep, that player gains 1 life if he or she controls any plains.",
0797,Stangg,Summon Legend,Mark Poole,"When Stangg comes into play a Stangg twin also comes into play. If either leaves play, the other also leaves play.",
0798,Storm Seeker,Instant,Mark Poole,Opponent loses 1 life for each card in their hand,
0799,Strorm World,Enchant World,Christopher Rush,"At the end of each player's upkeep, Storm World deals that player 1 damage for each card in his or her hand fewer than four.",
0800,Subdue,Instant,Brian Snoddy,"Target creature gets +0/+X until end of turn, where X is target creature's casting cost.  That creature deals no damage during combat this turn.",
0801,Sunastian,Summon Legend,Christopher Rush,|T: Add 2 colorless mana to your mana pool.  Play this ability as an interrupt.,Sunastian has roots in both sorcery and swordplay; he has learned never to depend too heavily on the latter.
0802,Sword of the Ages ,Artifact,Dan Frazier,Sword of the Ages comes into play tapped.  |T: Sacrifice Sword of the Ages and any number of creatures.  Remove these creatures and Sword of the Ages from the game instead of putting them in the graveyard.  Sword of the Ages deals damage...,
0803,Sylvan Library,Enchantment,Harold McNeill,"You may draw two extra cards during your draw phase.  If you do so, put two of the cards drawn this turn back on top of your library (in any order) or pay 4 life per card not replaced.  Effects that prevent or redirect damage cannot be...",
0804,Sylvan Paradise,Instant,Randy Asplund-Faith,"Change the color of one or more target creatures to green.  This change lasts until end of turn.  Costs to cast, tap, maintain, or use a special ability of targets remain unchanged.",
0805,Syphon Soul,Sorcery,Melissa Benson,Syphon Soul deals 2 damage to all players other than you.  You then gain 1 life for each 1 damage dealt.,"""Her lips suck forth; see where it flies!"" --- Christopher Marlowe, The Tragical History of Doctor Faustus"
0806,Pendrell Tabernacle,Land,Nicola Leonard,All players must pay one mana during thier upkeep for each of their creatures in play discarding those creatures not paid for,
0807,Takklemaggot,Enchant Creature,Daniel Gelon,Target loses 1 tough during each of your upkeep phases until dead. You must then move enchant to another creature of your choice until all creatures are gone. Maggot then becomes regular enchant and does 1 damage to you each turn,
0808,Telekinesis,Instant,Daniel Gelon,"Target creature deals no damage in combat this turn.  If that creature is not already tapped, tap it.  That permanent does not untap as normal during its controller's next two untap phases.",
0809,Teleport,Instant,Douglas Shuler,Target creature cannot be blocked until end of turn. Play after attack is declared and before block are chosen,
0810,Tempest Efreet,Summon Efreet,NeNe Thomas,|T:  Choose a card at random...,
0811,Tetsuo Umezawa,Summon Legend,Julie Baroh,Tetsuo Umezawa cannot be the target of enchant creature spells.  |R|B|B|U: Destroy target tapped or blocking creature.,
0812,The Abyss,Enchant World,Pete Venters,"During each player's upkeep, that player buries target non-artifact creature he or she controls.","""An immense river of oblivion is sweeping us away into a nameless abyss."" --- Ernest Reman, Souvenirs d'Enfance et de Jeunesse"
0813,The Brute,Enchant Creature,Mark Poole,Target creature gets +1/+0.  |R|R|R: Regenerate target creature The Brute enchants.,"""Union may be strength, but it is mere blind brute strength unless wisely directed.'' ---Samuel Butler"
0814,Lady of the Mount,Summon Legend,Richard Kane-Ferguson,,"Her given name has been lost in the mists of time. Legend says that her silent vigil will one day be ended by the one who, pure of heart and spirit, calls out that name again."
0815,The Wretched,Summon Wretched,Christopher Rush,Any creature blocking the wretched comes under your control for the rest of the duel or until the Wretched that it blocked leaves play,
0816,Thunder Spirit,Summon Spirit,Randy Asplund-Faith,"First strike, flying","""It was full of fire and smoke and light and ... it drove between us and the Efrafans like a thousand thunderstorms with lightning"" --- Richard Adams, Watership Down"
0817,Time Elemental,Summon Elemental,Amy Weber,"|U|U, |T: Return target permanent to owner's hand.  You cannot use this ability on permanents with enchantment cards played on them.  If Time Elemental blocks or attacks, destroy it at end of combat.  In this case...",
0818,Tobias Andrion,Summon Legend,Andi Rusu,,"Administrator of the military state of Sheoltun, Tobias Andrion is the military right arm of the empire and the figurehead of its freedom."
0819,Tolaria,Land,Nicola Leonard,|T: Add |U to your mana pool.  |T: Target creature loses banding and all bands with other abilities until end of turn.  Use this ability only during upkeep.,"""Fairest Isle, all isles excelling, / Seat of Pleasures, and of loves ... "" --- Johny Dryden"
0820,Tor Wauki,Summon Legend,Randy Asplund-Faith,|T: during attack to do 2 damage to any attacking or blocking creature,
0821,Torsten,Summon Legend,Mark Poole,,"""How can you accuse me of evil? Though these deeds be unsavory, no one will argue: good shall follow from them."""
0822,Touch of Darkness,Instant,Pete Venters,"Change the color of one or more target creatures to black.  This change lasts until end of turn.  Costs to cast, tap, maintain, or use a special ability of targets remain unchanged.","""Black, spirits and white, red spirits and gray, / Mingle, mingle, mingle, you that mingle may."" --- Thomas Middleton, The Witch"
0823,Transmutation,Instant,Susan Van Camp,Target creatures power is switched with toughness until end of turn killing creatures whose tuff drops below 1,"``You know what I was,/ You see what I am: change me, change me!'' ---Randall Jarrell, The Woman at the Washington Zoo"
0824,Triassic Egg,Artifact,Dan Frazier,"|3, |T: during 2 upkeeps to summon any creature from your hand or graveyard at no casting cost. Discarded after use.",
0825,Tuknir Deathlock,Summon Legend,Liz Danforth,"Flying  |G|R, |T: Target creature gets +2/+2 until end of turn.","An explorer of the Aether, Tuknir often discovers himself in the most unusual physical realms."
0826,Tundra Wolves,Summon Wolves,Quinton Hoover,First strike,"I heard their eerie howling, the wolves calling their kindred across the frozen plains."
0827,Typhoon,Sorcery,Anson Maddocks,Typhoon deals 1 damage to each opponent for each island he or she controls.,Fierce winds ripped across the tropical landscape. What they did not destroy with their fiery breath was washed away by torrential rain.
0828,Undertow,Enchantment,Randy Asplund-Faith,Creatures with islandwalk may be blocked as if they did not have this ability.,
0829,Underworld Dreams,Enchantment,Julie Baroh,Underworld Dreams deals 1 damage to target opponent for each card he or she draws.,"""In the drowsy dark cave of the mind dreams build their nest with fragments dropped from the day's caravan. --- Rabindranath Tagore"
0830,Unholy Citadel,Land,Mark Poole,All your black legends gain bands with other legends.,
0831,Untamed Wilds,Sorcery,NeNe Thomas,Serach your library for any one basic land and put it directly into play.  This does not counter towards your one land per turn limit.  Reshuffle your library afterwards.,
0832,Ur-Drago,Summon Legend,Christopher Rush,First strike  Creatures with swampwalk may be blocked as if they did not have this ability.,
0833,Urborg,Land,Bryon Wackwitz,|T: Add |B to your mana pool.  |T: Target creature loses swampwalk or first strike until end of turn.,"""Resignedly beneath the sky / The melancholy waters lie. / So blend the turrets and shadows there / That all seem pendulous in air, / While from a proud tower in town / Death looks gigantically down."" --- Edgar Allen Poe, ""The City in the Sea"""
0834,Vaevictis Asmadi,Summon ElderDragon,Andi Rusu,"Upkeep |B,|R,|G. PowerUp |B, |R or |G to gain +1/+0 until end of turn.",
0835,Vampire Bats,Summon Bats,Anson Maddocks,Flying  |B: +1/+0 until end of turn.  You cannot spend more than |B|B in this way each turn.,"""For something is amiss or out of place / When mice with wings can wear a human face."" --- Theodore Roethke, ""The Bat"""
0836,Venarian Gold,Enchant Creature,Daniel Gelon,,
0837,Visions,Sorcery,NeNe Thomas,Look at the top five cards of any library.  You may then shuffle that library.,"``Visions of glory, spare my aching sight, / Ye unborn ages, crowd not on my soul!'' ---Thomas Gray, ``The Bard''"
0838,Voodoo Doll,Artifact,Sandra Everingham,|T: and pay 2x colorless mana to do x damage to any target. 1st turn x is equal to 1 and it increases by one on each of your upkeeps. Doll must be tapped on each of your turns or it goes to graveyard and you suffer x as determined above.,
0839,Walking Dead,Summon Dead,Dan Frazier,|B: Regenerates,The Walking Dead are the remains of freakish experiments by the Necromantic Lords.
0840,Wall of Caltrops,Summon Wall,Brian Snoddy,"If Wall of Caltrops and one or more other walls join to block an attacker, and no non-wall creatures block that attacker, Wall of Caltrops gains banding until end of turn.","""Ow! Ow ow ow! Oooh, ow, OW!"""
0841,Wall of Dust,Summon Wall,Richard Thomas,No creature blocked by Wall of Dust may attack during its controller's next turn.,An ever-moving swarm of dust engulfs and disorients anything that comes near.
0842,Wall of Earth,Summon Wall,Richard Thomas,,"The ground shuddered violently and the earth seemed to come to life. The elemental force contained in the vast wall of earth was trapped, bent to its controller's will."
0843,Wall of Heat,Summon Wall,Richard Thomas,,"At a distance, we mistook the sound for a waterfall ..."
0844,Wall of Light,Summon Wall,Richard Thomas,Protection from black,As many attackers were dazzles by the wall's beauty as were halted by its force.
0845,Wall of Opposition,Summon Wall,Harold McNeill,|1: Gain +1/+0 until end of turn,"Like so many obstacles in life, the Wall of Opposition is but an illusion, held fast by the focus and belief of the one who creates it."
0846,Wall of Putrid Flesh,Summon Wall,Richard Thomas,Protection from white  All damage dealt to Wall of Putrid Flesh by creatures with enchantment cards played on them is reduced to 0.,
0847,Wall of Shadows,Summon Wall,Pete Venters,Damage done to wall by creatures it blocks is reduced to 0 and effects which only target walls may not target Wall of Shadows,
0848,Wall of Tombstones,Summon Wall,Dan Frazier,,
0849,Wall of Vapor,Summon Wall,Richard Thomas,Damage done to wall by creatures it blocks is reduced to 0.,"``Walls of a castle are made out of stone,/ Walls of a house out of bricks or of wood./ My walls are made out of magic alone,/ Stronger than any that ever have stood.'' ---Chrysoberyl Earthsdaughter, Incantations"
0850,Wall of Wonder,Summon Wall,Richard Thomas,|U|U|2: to make wall +4/-4 and allow it to attack this turn,So confusing is the wall's appearance that few of its victims even see it move.
0851,Whirling Dervish,Summon Dervish,Susan Van Camp,Protection from black.  Whirling Dervish gets +1/+1 at the end of each turn in which it damages opponent.,
0852,White Mana Battery,Artifact,Anthony Waters," |2, |T: Puts one charge counter on White Mana Battery.  |T: Add |W to your mana pool and use as many charge counters as you wish.  For each charge counter removed from White Mana Battery, add |W.",
0853,Willow Satyr,Summon Satyr,Jeff A. Menges,|T: Satyr to control target legend until Satyr or legend is destroyed. You loose control of legend if Satry leaves play or becomes untapped. You may choose not to untap Satyr during untap.,
0854,Winds of Change,Sorcery,Justin Hampton,All players shuffle their hands into their libraries and then draw the same number of cards they originally held.,"‘Tis the set of sails, and not the gales, / Which tells us the way to go.'' ---Ella Wheeler Wilcox"
0855,Winter Blast,Sorcery,Kaja Foglio,T| X target creatures.  Winter Blast deals 2 damage to each of these target creatures with flying.,"``Blow, winds, and crack your cheeks! rage! blow!” ---William Shakespeare,  King Lear"
0856,Wolverine Pack,Summon Wolverines,Jeff A. Menges,Rampage: 2,"""Give them great meals of beef and iron and steel, they will eat like wolves and fight like devils."" --- William Shakespeare, King Henry V"
0857,Wood Elemental,Summon Elemental,Brian Snoddy,Wood Elemental's power and toughness are each equal to the number of untapped forests you sacrifice when Wood Elemental enters play.,
0858,Xira Arien,Summon Legend,Melissa Benson,"|B|G|R, T|: to draw one card","A regular guest at the Royal Masquerade, Arien is the envy of the Court. She appears in a new costume every hour."
0859,Zephyr Falcon,Summon Falcon,Heather Hudson,Flying.  Attacking does not cause Zephyr Falcon to tap.,"Although greatly prized among falconers, the Zephyr Falcon is capricious and not easily tamed."
0860,Call from the Grave,Sorcery,Vlad the Impaler,A creature is randomly selected from either player's graveyard an put directly into play under your control. You must pay X life equal to the target's castcost. Life lost in this manner may not be redirected or prevented.,
0861,Prismatic Dragon,Summon Dragon,Vlad the Impaler,Flying. |1: Prismatic dragon randomly changes colors. Each player may pay this cost once per turn.,
0862,Rainbow Knights,Summon Knights,Vlad the Impaler,Protection from color. Rainbow Knights randomly select a color which they are warded against when they are placed into play.,
0863,Pandora's Box,Artifact,Vlad the Impaler,"|3: Brings a token creature randomly selected from either players deck into play under the contro
0864,Whimsy,Sorcery,Vlad the Impaler,Randomly generates and targets X fast effects upon randomly selected creatures in play.
0865,Faerie Dragon,Summon Dragon,Vlad the Impaler,"Flying.  |4, |T: Target creature becomes the target of a randomly selected fast effect which lasts until the end of the turn."
0866,Goblin Polka Band,Summon Goblins,Vlad the Impaler,"|X, |T: X randomly selected creatures in play become tapped. Goblins tapped in this manner do not untap as normal during their next untap phase."
0867,Power Junction,Enchantment,Vlad the Impaler,Two permanents of the same type are randomly selected and swapped between both players. These cards are returned to their respective owners at the end of the duel. 
0868,Aswan Jaguar,Summon Jaguar,Vlad the Impaler,None
0869,Orcish Catapult,Instant,Vlad the Impaler,None
0870,Gem Bazaar,Land,Vlad the Impaler,None
0871,Necropolis of Azaar,Enchantment,Vlad the Impaler,None
0872,Red Guild,Land,Vlad the Impaler,None
0873,Blue Guild,Land,Vlad the Impaler,None
0874,White Guild,Land,Vlad the Impaler,None
0875,Green Guild,Land,Vlad the Impaler,None
0876,Black Guild,Land,Vlad the Impaler,None
0877,Artificer's Guild,Land,Vlad the Impaler,None
0878,Bright Society,Land,Vlad the Impaler,None
0879,Grey Society,Land,Vlad the Impaler,None
0880,Dark Society,Land,Vlad the Impaler,None
0881,Gladiator,Artifact Creature,Vlad the Impaler,None
0882,Master,Enchant Creature,Vlad the Impaler,None
0883,Royalty,Enchantment,Vlad the Impaler,None
0884,Veteran,Summon Veteran,Vlad the Impaler,None
0885,Giant Wasp,Token Giant Wasp,Vlad the Impaler,Flying. 
0886,Wolves of the Hunt,Token Wolves,Vlad the Impaler,Bands with Wolves of the Hunt.
0887,Poison Snake,Token Snake,Vlad the Impaler,Poison: 1.
0888,Minor Demon,Token Demon,Vlad the Impaler,None
0889,Sand Warrior,Token Sand Warrior,Vlad the Impaler,None
0890,Djinn of the Bottle,Token Djinn,Vlad the Impaler,Flying.
0891,Tetravii,Token Tetravii,Vlad the Impaler,"Flying. |0: Tetravii recombines with the Tetravus which created it, giving it +1/+1."
0892,Ruhk,Token Ruhk,Vlad the Impaler,Flying.
0893,Arena,Land,Rob Alexander,"|3,|T: Choose one of your creatures and your opponent chooses one of his/her creatures. Both target creatures become tapped and do their power in damage to each other."
0894,Mana Crypt,Artifact,Mark Tedin,|T: Add two colorless mana to your mana pool. Mana Crypt has a 50% chance of doing 3 damage to it's controller during their upkeep each turn.
0895,Nalathni Dragon,Summon Dragon,Michael Whelan,"Flying, Bands. |R: +1 /+0 until end of turn. If more than |R|R|R is spent in this manner during one turn, Nalathni Dragon is buried at the end of that turn.",These small but intelligent Dragon and their Olesian allies held back the tide of Pashalik Mon's horde of Goblin Raiders.
0896,Sewers of Estark,Instant,Melissa Benson,"Targets a creature in play. If target is attacking, it may not be blocked until end of turn. If target creature is blocking, it and all creatures it blocks do no damage during combat this turn.",
0897,Windseeker Centaur,Summon Centaur,Anson Maddocks,Attacking does not cause Windseeker Centaur to tap.,"Loyal and passionate in battle, the Windseeker tribe roams the Green Lands near the Honeyed Sea."
0898,Giant Badger,Summon Badger,Liz Danforth,"If assigned as a blocker, Giant Badger gains +2 Power and +2 Toughness until end of the turn.",The wizard Greensleeves called a Giant Badger to her aid in a battle with the desert mage Karli.
0899,Damage Effect,Game Effect,Sid,"Represents (n) points of damage pending.",
0900,Power Up,Game Effect,Sid,"Represents extra power and/or toughness.",
0901,Unblockable,Game Effect,Sid,"Creature cannon be blocked.",
0902,Add Ability,Game Effect,Sid,"Creature has been given extra abilities.",
0903,Sleighted,Game Effect,Sid,"Card has been Sleight of Minded.",
0904,Hacked,Game Effect,Sid,"Card has been Magical Hacked.",
0905,Stoning,Game Effect,Sid,"Creature has been stoned.",
0906,Take Ability,Game Effect,Sid,"Creature has lost abilities.",
0907,No Attack,Game Effect,Sid,"Creature cannot attack next turn.",
0908,Blank Slot 13,Summon Demon,Vlad the Impaler,None,
0909,Blank Slot 13,Summon Demon,Vlad the Impaler,None,
0910,Assembly Worker,Token Giant Wasp,Vlad the Impaler,"Artifact Creature/Land" 
0911,Ifh-Biff Effect,Token Giant Wasp,Vlad the Impaler,"" 
0912,Spawn of Azar,Token Giant Wasp,Vlad the Impaler,"" 
0913,Undo Cyclopean,Token Giant Wasp,Vlad the Impaler,"" 
0914,Nether Link,Token Giant Wasp,Vlad the Impaler,"" 
0915,Tetravite,Token Giant Wasp,Vlad the Impaler,"" 
0916,Blank Slot 13,Summon Demon,Vlad the Impaler,None
0917,Blank Slot 13,Summon Demon,Vlad the Impaler,None
0918,Blank Slot 13,Summon Demon,Vlad the Impaler,None
0919,Blank Slot 13,Summon Demon,Vlad the Impaler,None
0920,Blank Slot 13,Summon Demon,Vlad the Impaler,None
0921,Blank Slot 13,Summon Demon,Vlad the Impaler,None
0922,Blank Slot 13,Summon Demon,Vlad the Impaler,None
0923,Blank Slot 13,Summon Demon,Vlad the Impaler,None
0924,Blank Slot 13,Summon Demon,Vlad the Impaler,None
0925,Blank Slot 13,Summon Demon,Vlad the Impaler,None
0926,Blank Slot 13,Summon Demon,Vlad the Impaler,None
0927,Blank Slot 13,Summon Demon,Vlad the Impaler,None,
0928,Blank Slot 13,Summon Demon,Vlad the Impaler,None,
0929,Blank Slot 13,Summon Demon,Vlad the Impaler,None,
0930,Brass Man,Artifact Creature,Vlad the Impaler,Brass Man does not untap during your untap phase.  |1: Untap Brass Man.  Use this ability only during your upkeep.,
0931,Dancing Scimitar,Artifact Creature,Vlad the Impaler,Flying,"Bobbing merrily from opponent to opponent, the scimitar began adding playful little flourishes to its strokes; it even turned a couple of somersaults."
0932,Curse Artifact,Enchant Artifact,Vlad the Impaler,Causes 2 damage to artifact's controller unless they choose to bury artifact.,Voska feared the artifact had come too easily.
0933,Electric Eel,Summon Eel,Vlad the Impaler,|R|R: +2/+0 and controller takes 1 damage. Causes 1 damage when put in play.,
0934,Festival,Instant,Vlad the Impaler,Opponent may not declare an attack this turn. Play during opponents upkeep.,Only after the townsfolk had drawn us into their merry celebration did we discover that their holiday rituals held a deeper purpose.
0935,Flood,Enchantment,Vlad the Impaler,|U|U: |T: target creature without flying.,"``A dash of cool water does wonders to clear a cluttered battlefield.'' ---Vibekke Ragnild, Witches and War "
0936,Goblin Digging Team,Summon Goblins,Vlad the Impaler,|T: and sacrifice self to destroy target wall.,"``From down here we can make the whole wall collapse!'' ``Uh, yeah, boss, but how do we get out?''"
0937,Goblin Rock Sled,Summon Rock Sled,Vlad the Impaler,Trample.  Cannot attack if defending player controls no mountains.  Rock Sled does not untap during your untap phase if it attacked during your last turn.,
0938,Goblin Shrine,Enchant Land,Vlad the Impaler,"If target land is a basic mountain, all goblins gain +1/+0. Does 1 damage to all goblins if buried.",``I knew it weren't no ordinary pile of---you know.'' ---Norin the Wary
0939,Marsh Viper,Summon Viper,Vlad the Impaler,"If Marsh Viper damages a player, he or she gets two poison counters.  If a player has ten or more poison counters, he or she loses the game.","""All we had left were their black and bloated bodies."" --- Maeveen O'Donogh, Memoirs of a Soldier"
0940,Merfolk Assassin,Summon Merfolk,Vlad the Impaler,|T: to destroy target creature that has islandwalk.,
0941,Miracle Worker,Summon Savant,Vlad the Impaler,|T: to destroy target enchantment on a creature you control.,"""Those blessed hands could bring surcease to even the most tainted soul."" --- Sister Betje, Miracles of the Saints"
0942,Pikemen,Summon Pikemen,Vlad the Impaler,"Banding, first strike","``As the cavalry bore down, we faced them with swords drawn and pikes hidden in the grass at our feet. `Don't lift your pikes 'til I give the word,' I said.''  ---Maeveen O'Donagh, Memoirs of a Soldier"
0943,Ragman,Summon Ragman,Vlad the Impaler,"|B|B|B, |T: Look at target opponent's hand.  If that player has any creature cards in hand, he or she discards one of them at random.  Use this ability only during your turn.","""Aw, he's just a silly, dirty little man. What's to be afraid of?"""
0944,Savaen Elves,Summon Elves,Vlad the Impaler,"|G|G, |T: Destroy target enchant land.","""purity of magic can only come from purity of the land, How can a meal nourish if the ingredients are spoiled?"" --- Sidaine of Savaen"
0945,Scarwood Bandits,Summon Bandits,Vlad the Impaler,"|G|2, |T: Take control of target artifact. Opponent can counter by paying |2.",
0946,Scarwood Goblins,Summon Goblins,Vlad the Impaler,,"Larger and more cunning than most Goblins, Scarwood GOblins are thankfully found only in isolated pockets."
0947,Scavenger Folk,Summon Scavengers,Vlad the Impaler,|G and sacrifice to destroy target artifact.,"String, weapons, wax, or jewels---it makes no difference. Leave nothing unguarded in Scarwood."
0948,Squire,Summon Squire,Vlad the Impaler,,"""Of twenty years of age he was, I gesse. Of his Stature he was of even lengthe, And wonderly did deliver, and greete of strengthe."" --- Geoffrey Chaucer, The Canterbury Tales"
0949,Tangle Kelp,Enchant Creature,Vlad the Impaler,Target creature doesn't untap if it attacked last turn. Kelp taps target creature.,
0950,Tivandar's Crusade,Sorcery,Vlad the Impaler,Destroys all goblins in play.,
0951,Water Wurm,Summon Wurm,Vlad the Impaler,Gains +0/+1 if opponent controls at least 1 island.,
0952,Rubinia Soulsinger,Summon Legend,Rob Alexander,None,
0953,MPS Logo,Artifact,Vlad the Impaler,None,
0954,Blank Slot 46,Summon Demon,Vlad the Impaler,None,
0955,Blank Slot 47,Summon Demon,Vlad the Impaler,None,
0956,Blank Slot 48,Summon Demon,Vlad the Impaler,None,
0957,Blank Slot 49,Summon Demon,Vlad the Impaler,None,
0958,Blank Slot 50,Summon Demon,Vlad the Impaler,None,
0959,Blank Slot 51,Summon Demon,Vlad the Impaler,None,
0960,Across the Rhine,Enchantment,Vlad the Impaler,None,
0961,CivNet,Land,Vlad the Impaler,None,
0962,Terror from the Deep,Summon Terror,Vlad the Impaler,"May not be summoned unless you own the hit PC game, X-Com: Terror from the Deep by MicroProse.","""I didn't think it were all that big...until it ate our island. Then I figured it was pretty big after all."" ---some old sailor who smelled pretty bad"
0963,World Card,World,Vlad the Impaler,None,
0964,Blank Slot 53,Summon Demon,Vlad the Impaler,None,
0965,Blank Slot 54,Summon Demon,Vlad the Impaler,None,
0966,Blank Slot 55,Summon Demon,Vlad the Impaler,None,
0967,Blank Slot 56,Summon Demon,Vlad the Impaler,None,
0968,Blank Slot 57,Summon Demon,Vlad the Impaler,None,
0969,Blank Slot 58,Summon Demon,Vlad the Impaler,None,
0970,Blank Slot 59,Summon Demon,Vlad the Impaler,None,
0971,Blank Slot 60,Summon Demon,Vlad the Impaler,None,
0972,Blank Slot 61,Summon Demon,Vlad the Impaler,None,
0973,Blank Slot 62,Summon Demon,Vlad the Impaler,None,
0974,Blank Slot 63,Summon Demon,Vlad the Impaler,None,
0975,Blank Slot 64,Summon Demon,Vlad the Impaler,None
0976,Blank Slot 65,Summon Demon,Vlad the Impaler,None
0977,Blank Slot 66,Summon Demon,Vlad the Impaler,None
0978,Blank Slot 67,Summon Demon,Vlad the Impaler,None
0979,Blank Slot 68,Summon Demon,Vlad the Impaler,None
0980,Blank Slot 69,Summon Demon,Vlad the Impaler,None
0981,Blank Slot 70,Summon Demon,Vlad the Impaler,None
0982,Blank Slot 71,Summon Demon,Vlad the Impaler,None
0983,Blank Slot 72,Summon Demon,Vlad the Impaler,None
0984,Blank Slot 73,Summon Demon,Vlad the Impaler,None
0985,Blank Slot 74,Summon Demon,Vlad the Impaler,None
0986,Blank Slot 75,Summon Demon,Vlad the Impaler,None
0987,Blank Slot 76,Summon Demon,Vlad the Impaler,None
0988,Blank Slot 77,Summon Demon,Vlad the Impaler,None
0989,Blank Slot 78,Summon Demon,Vlad the Impaler,None
0990,Blank Slot 79,Summon Demon,Vlad the Impaler,None
0991,Blank Slot 80,Summon Demon,Vlad the Impaler,None
