Sentinel,Card Name,Game ID,Card Status,,,,Original Set,,Additional Cardsets,,,,Mana Sources,Types of Mana Generated,,,,,,AI Values,Color and Land Values,,,,,,Dependencies,,,Class Value Modifiers,,,,,,,,,,,,,,,,,,,,,Persistant Attributes,,Variable Attributes,,,Creature Abilities,1 has 2 gives 4 anti,,,,
778,Brainwash,0303,Yes,,, ,Dark,C3,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
779,Brothers of Fire,0304,Yes,,,,Dark,U2,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
780,Carnivorous Plant,0305,No,,,,Dark,C3,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,4,5,-,-,-,-,-,-,-,-,-
781,Cave People,0306,Yes,,,,Dark,U1,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,4,-,-,-,-,-,-,-,-,-
782,City of Shadows,0307,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
784,Coal Golem,0308,No,,,,Dark,U2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,3,-,-,-,-,-,-,-,-,-
786,Dance of Many,0309,No,Hard,"Pandora's Box, Conversion",,Dark,U1,-,-,R,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,3,-,-,-,-,-,-,-,-,-
789,Deep Water,0310,No,,,,Dark,C3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
791,Dust to Dust,0311,No,Easy,Ashes to Ashes,,Dark,C3,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
792,Eater of the Dead,0312,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,4,-,-,-,-,-,-,-,-,-
794,Elves of Deep Shadow,0313,No,,,,Dark,U2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
795,Erosion,0314,No,,,,Dark,C3,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
796,Eternal Flame,0315,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00010,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
797,Exorcist,0316,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
798,Fasting,0317,No,,,,Dark,U2,-,-,-,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
799,Fellwar Stone,0318,Yes,,,,Dark,U2,-,U,U,-,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
801,Fire and Brimstone,0319,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
802,Fire Drake,0320,No,Easy,Vampire Bats,,Dark,U2,-,-,U,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,1,-,-,1,-,-,-,-,-
803,Fissure,0321,Yes,,,,Dark,C3,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
856,Scarwood Hag,0322,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00001,00001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
843,People of the Woods,0323,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,-,-,-,-,-,-,-,-,-
805,Fountain of Youth,0324,No,Easy,Jayemdae Tome,,Dark,U2,-,-,U,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
806,Frankenstein's Monster,0325,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,4,-,-,-,-,-,-,-,-,-
808,Ghost Ship,0326,No,,,,Dark,C3,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,4,-,-,-,1,-,-,-,-,-
809,Giant Shark,0327,No,,,,Dark,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,01000,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,4,-,-,-,-,-,-,-,-,1
862,Spitting Slug,0328,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,4,-,-,-,-,-,-,1,-,-
810,Goblin Caves,0329,No,,,,Dark,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
812,Goblin Hero,0330,No,Very Easy,,,Dark,C3,-,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
815,Goblin Wizard,0331,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
816,Goblins of the Flarg,0332,No,,,,Dark,C3,-,-,-,C3,-,-,-,-,-,-,-,-,-,-,-,00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
817,Grave Robbers,0333,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
807,Gaea's Touch,0334,No,,,,Dark,C3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
818,Hidden Path,0335,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,00001,-,00001,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
774,Bog Imp,0336,Yes,,,,Dark,C3,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,1,-,-,-,-,-
820,Inferno,0337,Yes,,,,Dark,U1,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
822,Knights of Thorn,0338,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,1,-,-,-,-
823,Land Leeches,0339,No,,,,Dark,C3,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,1,-,-
824,Leviathan,0340,Yes,,,,Dark,U1,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,10,10,-,-,-,-,-,1,-,-,-
825,Living Armor,0341,No,,,,Dark,U2,-,-,-,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,5,-,-,-,-,-,-,-,-,-
826,Lurker,0342,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,3,-,-,-,-,-,-,-,-,-
827,Mana Clash,0343,Yes,,,,Dark,U1,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
828,Mana Vortex,0344,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
832,Martyr's Cry,0345,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,10000,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
835,Mind Bomb,0346,Yes,,,,Dark,U1,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
837,Morale,0347,No,,,,Dark,C3,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0,-,-,5,5,-,-,-,-,-,-,-
840,Necropolis,0348,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,10,-,-,-,-,-,-,-,1,-
842,Orc General,0349,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
775,Bog Rats,0350,No,Easy,Amrou Kithkin,,Dark,C3,-,-,C,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
845,Preacher,0351,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
846,Psychic Allergy,0352,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
777,Book of Rass,0353,No,,,,Dark,U2,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
848,Reflecting Mirror,0354,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
849,Riptide,0355,No,,,,Dark,C3,-,-,-,-,-,-,-,-,-,-,-,1,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
850,Runesword,0356,No,,,,Dark,U2,-,-,-,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,-,-,-,-,-,-,-,-,-,-
851,Safe Haven,0357,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
853,Scarecrow,0358,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,4,-,-,-,-,-
858,Season of the Witch,0359,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
859,Sisters of the Flame,0360,No,,,,Dark,U2,-,C,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
860,Skull of Orm,0361,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
864,Standing Stones,0362,No,,,,Dark,U2,-,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
865,Stone Calender,0363,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
866,Sunken City,0364,No,,,,Dark,C3,-,C,-,-,-,-,-,-,-,-,-,1,-,01000,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
829,Marsh Gas,0365,No,,,,Dark,C3,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
830,Marsh Goblins,0366,No,,,,Dark,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
783,Cleansing,0367,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
871,Tormod's Crypt,0368,No,,,,Dark,U2,-,-,-,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
788,Dark Sphere,0369,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
868,The Drowned,0370,No,,,,Dark,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
838,Murk Dwellers,0371,Yes,,,,Dark,C3,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,4,2,-,-,-,-,-,-,-,-,-
869,The Fallen,0372,No,,,,Dark,U2,-,-,-,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,3,-,-,-,-,-,-,-,-,-
841,Niall Silvain,0373,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
821,Inquisition,0374,No,,,,Dark,C3,-,-,-,-,-,-,-,-,-,-,-,-,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
819,Holy Light,0375,No,,,,Dark,C3,-,-,-,-,-,-,-,-,-,-,-,1,01111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
790,Diabolic Machine,0376,Yes,,,,Dark,U2,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,4,4,-,-,-,-,-,-,-,-,-
833,Maze of Ith,0377,No,,,,Dark,C1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
839,Nameless Race,0378,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,1,-,-,-
872,Tower of Coireall,0379,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
873,Tracker,0380,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
861,Sorrow's Path,0381,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
874,Uncle Istvan,0382,No,,,,Dark,U2,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,0,1,3,-,-,-,-,-,-,-,-,-
875,Venom,0383,Yes,,,,Dark,C3,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,5,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
876,Wand of Ith,0384,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
877,War Barge,0385,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
879,Whippoorwill,0386,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
880,Witch Hunter,0387,No,,,,Dark,U1,-,-,-,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
881,Word of Binding,0388,No,,,,Dark,C3,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
883,Wormwood Treefolk,0389,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,4,-,-,-,-,-,-,-,-,-
882,Worms of the Earth,0390,No,,,,Dark,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
293,Abu Jafar,0391,No,,,,Arabian,U3,-,-,-,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
294,Aladdin,0392,No,,,,Arabian,U2,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
295,Aladdin's Lamp,0393,No,,,,Arabian,U2,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
297,Ali Baba,0394,No,,,,Arabian,U3,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
298,Ali from Cairo,0395,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,1,-,-,-,-,-,-,-,150,-,1,-,-,-,-,-,-,-,-,-
296,Aladdin's Ring,0396,Yes,,,,Arabian,U2,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,200,-,-,-,-,-,-,-,-,-,-,-
299,Army of Allah,0397,No,,,,Arabian,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,-,10,-,-,-,-,-,-,-,-
300,Bazaar of Baghdad,0398,No,,,,Arabian,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
301,Bird Maiden,0399,Yes,,,,Arabian,C2,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,2,-,-,-,1,-,-,-,-,-
302,Bottle of Suleiman,0400,Yes,,,,Arabian,U2,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-50,5,5,-,-,-,1,-,-,-,-,-
304,Camel,0401,No,,,,Arabian,C5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,1,-,-,-,        ,1,-,-,-,-
305,City in a Bottle,0402,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
306,City of Brass,0403,Yes,,,,Arabian,U3,-,-,R,U1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-150,-,-,-,-,-,-,-,-,-,-,-
307,Cuombajj Witches,0404,No,,,,Arabian,C4,-,-,-,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,50,1,3,-,-,-,-,-,-,-,-,-
308,Cyclone,0405,No,,,,Arabian,U3,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,00001,-,-,-,-,-,-,-,-,2,2,-,-,-,-,1,-,4,-,1,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
310,Dandan,0406,No,Very Easy,,,Arabian,C4,-,-,C,C3,-,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,4,1,-,-,-,-,-,-,-,-,1
